        mark         | zone | number | state | level | source  |    info    
---------------------+------+--------+-------+-------+---------+------------
 2004-07-23 00:19:13 | S    |     79 |     1 |   118 | ArgusMS | inhabitant
 2004-07-23 00:20:41 | S    |     79 |     1 |   116 | ArgusMS | inhabitant
 2004-07-23 00:43:15 | S    |     79 |     1 |   115 | ArgusMS | inhabitant
 2004-07-23 01:40:33 | S    |     79 |     1 |   118 | ArgusMS | inhabitant
 2004-07-23 01:40:34 | S    |     79 |     1 |   114 | ArgusMS | inhabitant
 2004-07-23 03:26:54 | V    |     34 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:26:55 | V    |     34 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:26:56 | V    |     34 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:26:58 | V    |     34 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:04 | V    |     29 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:05 | V    |     29 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:06 | V    |     34 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:06 | V    |     34 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:09 | V    |     34 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:10 | V    |     34 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:15 | V    |     34 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:15 | V    |     34 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:18 | V    |     34 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:18 | V    |     34 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:19 | V    |     35 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:19 | V    |     35 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:20 | V    |     34 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:21 | V    |     34 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:22 | V    |     34 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:24 | V    |     34 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:24 | V    |     30 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:26 | V    |     25 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:27 | V    |     24 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:28 | V    |     30 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:28 | V    |     25 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:28 | V    |     24 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:31 | V    |     25 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:32 | V    |     30 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:34 | V    |     31 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:34 | V    |     25 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:34 | V    |     31 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:35 | V    |     36 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:36 | V    |     30 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:36 | V    |     36 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:37 | V    |     36 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:37 | V    |     37 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:38 | V    |     36 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:38 | V    |     37 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:40 | V    |     37 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:41 | V    |     32 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:41 | V    |     37 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:41 | V    |     32 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:42 | V    |     37 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:43 | V    |     32 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:43 | V    |     37 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:43 | V    |     32 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:44 | V    |     37 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:47 | V    |     38 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:47 | V    |     37 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:47 | V    |     38 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:48 | V    |     37 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:49 | V    |     36 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:50 | V    |     31 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:51 | V    |     37 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:51 | V    |     30 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:51 | V    |     31 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:52 | V    |     30 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:52 | V    |     36 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:53 | V    |     30 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:54 | V    |     30 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:27:56 | V    |     30 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:27:59 | V    |     30 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:28:00 | V    |     30 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:00 | V    |     31 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:28:01 | V    |     31 |     0 |     0 | ArgusD  | inhabitant
